"name","description"
"Arghul","aerophones, clarinet, reed instruments, Egypt, Syria, Turkey (422.2)"
"Arobapá","membranophones, drum, percussion, Cuba (211.21)"
"Arpeggione","chordophones,  stringed instruments, Austria (3)"
"Asadullah","other drums, Meerut, India"
"Ashiko","membranophones, djembe, percussion, Yoruba (211.251.1)"
"Atabaque","membranophones,  percussion, Brazil (211.221.1)"
"Atenteben","aerophones, flute, woodwinds, Ghana (422.2)"
"Audiocubes",""
"Aulos","aerophones,  reed instruments, "
"Autoharp","chordophones,  stringed instruments, US (3)"
"Ayacucho","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"A♭ clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Babendil","idiophones,  unpitched percussion, Philippines (111.242.1)"
"Baboula","membranophones, barrel drum, percussion, Grenada (211.221.1)"
"Bagpipe","aerophones, bagpipe, reed instruments, Europe (422)"
"Bahian guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Bajo charango","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Bajo sexto","chordophones,  stringed instruments, Mexico (3)"
"Bak","idiophones,  Korea (111.12)"
"Balaban","","aerophones, reed instruments, oboe, duduk, Azerbaijan, Iran (422.111.2)
"Balaban","membranophones, frame drum, percussion, Montserrat (211.311)"
"Balafon","idiophones, keyboard, pitched percussion, Africa, Burkina Faso, Chad, Gambia, Guinea, Mali, Senegal (111.212)"
"Balalaika","chordophones,  stringed instruments, Russia (321.321)"
"Balsié","membranophones, drum, percussion, Dominican Republic (2)"
"Bamboula","membranophones, drum, percussion, Haiti (211.211.2)"
"Bamileke log drum","idiophones, slit drum, unpitched percussion, Africa, Asia"
"Bandola","chordophones,  stringed instruments, Colombia, Venezuela (321.322)"
"Bandolin","chordophones,  stringed instruments, Ecuador (3)"
"Bandolón","chordophones,  stringed instruments, Mexico (3)"
"Bandoneón","aerophones, accordion, free reed instruments, Latin America (412.132)"
"Bandora","chordophones,  stringed instruments,  (321.321)"
"Bandura","chordophones,  stringed instruments, Ukraine (321.321)"
"Bandurria","chordophones,  stringed instruments, Aragon, Philippines, Spain (321.321)"
"Banhu","chordophones,  stringed instruments, China (321.321)"
"Banjo cello","chordophones,  stringed instruments, North America (3)"
"Banjo ukulele","chordophones,  stringed instruments, US (3)"
"Banjo","chordophones,  stringed instruments, North America (3)"
"Bansuri","aerophones, flute, woodwinds, India (421.121.12)"
"Bara","membranophones,  percussion, Burkina Faso, Ivory Coast, Mali (211.11)"
"Barbat","chordophones,  stringed instruments, Armenia, Iran (321.321)"
"Baritone guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Baritone horn","aerophones, trumpet, brass instruments, Germany (423.232)"
"Baritone sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Baritone saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Baritone ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Baritone voice","aerophones, human voice, vocal registers,  (43)"
"Baroque guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Baroque slide trumpet","aerophones, trumpet, brass instruments, Europe (423.21/22)"
"Baroque trumpet","aerophones, trumpet, brass instruments,  (423.232 )"
"Baroque violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Barrel drum","membranophones, barrel drum, percussion, Cuba (211.222)"
"Barriles buleador","membranophones,  barrel drum, percussion, Puerto Rico (211.221.2)"
"Barriles primo","membranophones,  barrel drum, percussion, Puerto Rico (211.221.2)"
"Barriles repicador","membranophones,  barrel drum, percussion, Puerto Rico (211.221.2)"
"Barriles subidor","membranophones,  barrel drum, percussion, Puerto Rico (211.221.2)"
"Baryton","chordophones,  stringed instruments, England (3)"
"Bass Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Bass banjo","chordophones,  stringed instruments, North America (3)"
"Bass clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Bass drum","membranophones, bass drum, percussion,  (211.212 )"
"Bass flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Bass guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Bass pedals",""
"Bass sackbut","aerophones, trombone, brass instruments, France (423.22)"
"Bass sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Bass saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Bass trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Bass trumpet","aerophones, trumpet, brass instruments,  (423.232 )"
"Bass trumpet","aerophones, trumpet, brass instruments,  (423.232 )"
"Bass tuba","aerophones, trumpet, brass instruments, Germany (423.232)"
"Bass ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Bass viol","chordophones,  stringed instruments, Spain (321.322-71)"
"Bass violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Bass/Baritone oboe","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Basset clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Basset horn","aerophones, clarinet, reed instruments, Germany (422.2)"
"Bassoon","aerophones, oboe, reed instruments, Western Europe (422.112.2–71)"
"Batá drum","idiophones,  Cuba, Nigeria, Yoruba (211.242.12)"
"Bawu","aerophones, pitch pipe, free reed instruments, China (412.131)"
"Bayan","aerophones, accordion, free reed instruments, Russia (412.132)"
"Bazooka","aerophones, trumpet, brass instruments,  (423.121.11)"
"Bağlama","chordophones,  stringed instruments, Armenia, Azerbaijan, Bosnia and Herzegovina, Kurdistan, Macedonia, Turkmenistan (321.321)"
"Beatboxing","aerophones, human voice, vocal techniques,  (43)"
"Bedug","membranophones,  percussion, Indonesia (211.212.1)"
"Berimbau","chordophones,  stringed instruments, Brazil (3)"
"Bifora","aerophones, oboe, reed instruments, Italy (Sicily) (422.11)"
"Bipa","chordophones,  stringed instruments, Korea (3)"
"Birbynė","aerophones, oboe, reed instruments, Lithuania (422.112.2)"
"Biwa","chordophones,  stringed instruments, Japan (321.321)"
"Bluegrass banjo","chordophones,  stringed instruments, North America (3)"
"Bluegrass mandolin","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Blul","aerophones, end-blown flute, kaval, woodwinds, Greece (421.111.12)"
"Bodhrán","membranophones, frame drum, percussion, Ireland, Scotland (211.321)"
"Bombarde","aerophones, oboe, reed instruments, France (422.112.2)"
"Bongo drums","membranophones, drum, percussion, Cuba (211.251.2)"
"Boobam","membranophones, tom-tom, percussion, US (211.211.1)"
"Bordonua","chordophones,  stringed instruments, Puerto Rico (3)"
"Bouzouki","chordophones,  stringed instruments, Greece (321.321)"
"Brahms guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Buccina","aerophones, trumpet, brass instruments, Italy (Ancient Rome) (423.121.21)"
"Bugle","aerophones, trumpet, brass instruments, Europe (423.121.22)"
"Bullroarer","aerophones, sirens, noise makers, Ancient civilizations (41)"
"Button accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Buzuq","chordophones,  stringed instruments, Saudi Arabia (321.321)"
"B♭ clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"C Soprano saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"C clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"C melody saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Cabasa","idiophones,  percussion,  (112.122)"
"Cajun accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Cajón","idiophones, box drum, unpitched percussion, Peru (111.2)"
"Calliope","aerophones, organ, fipple flutes, Western Europe/North America (421.222.3)"
"Candombe chico","membranophones, conga, percussion, Uruguay (211.221.1)"
"Candombe piano","membranophones, conga, percussion, Uruguay (211.221.1)"
"Candombe repique","membranophones, conga, percussion, Uruguay (211.221.1)"
"Carillon","idiophones, bell, pitched percussion, Belgium, Switzerland (111.242.2)"
"Carimba","chordophones,  stringed instruments, Mexico (3)"
"Castanets","idiophones,  unpitched percussion, Spain (111.141)"
"Castrato","aerophones, human voice, vocal registers,  (43)"
"Cavaquinho","chordophones,  stringed instruments, Portugal (3)"
"Caxirola","idiophones,  unpitched percussion, Brazil"
"Caxixi","idiophones,  West Africa, Brazil (111.141)"
"Celesta","other drums"
"Cello (violoncello)","chordophones,  stringed instruments,  (3)"
"Cello da spalla","chordophones,  stringed instruments,  (3)"
"Chalumeau","aerophones, clarinet, reed instruments, France (422.2)"
"Chango","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Chapman stick","chordophones,  stringed instruments, US (3)"
"Charango mediano","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Charango","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Charangos","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Charangón","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Chemnitzer concertina","aerophones, accordion, free reed instruments, Europe (412.132)"
"ChenGong harmonica","aerophones, harmonica, free reed instruments, Germany (412.132)"
"Chenda (Chande)","membranophones, drum, percussion, India (211.212)"
"Chillador","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Chitarra Italiana","chordophones,  stringed instruments,  (321.322)"
"Chitarra battente","chordophones,  stringed instruments, Italy (3)"
"Chitarra battente","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Choghur","chordophones,  stringed instruments, Azerbaijan (3)"
"Chromatic bombarde","aerophones, oboe, reed instruments, France (422.112.2)"
"Chromatic button accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Chromatic harmonica","aerophones, harmonica, free reed instruments, Germany (412.132)"
"Chácaras","idiophones,  unpitched percussion, Canary Islands"
"Cigar box guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Cigar box ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Cimbalom","chordophones,  stringed instruments, Hungary (3)"
"Cimbasso","aerophones, trombone, brass instruments, Italy (423.232)"
"Cimboa","chordophones,  stringed instruments, Cape Verde (	321.322)"
"Citole","chordophones,  stringed instruments, Western Europe (3)"
"Cittern","chordophones,  stringed instruments, England, Scotland, Switzerland (321.322)"
"Clapstick","idiophones, clave sticks, unpitched percussion, Australia"
"Clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Clarinette d'amour","aerophones, clarinet, reed instruments, Germany (422.2)"
"Clarytone","aerophones, tin whistle, fipple flutes, South Africa (421.221)"
"Classical guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Claves","idiophones, clave sticks, unpitched percussion, Australia (111.11)"
"Clavichord","chordophones,  stringed instruments, Western Europe (3)"
"Clavinet","chordophones,  stringed instruments, USA (3)"
"Concert ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Concert zither","chordophones,  stringed instruments, Belarus, Croatia, Czech, Germany, Hungary, Poland, Russia, Slovakia, Slovenia, Switzerland, Ukraine, (314.122)"
"Concertina","aerophones, accordion, free reed instruments, Europe (412.132)"
"Conch","aerophones, conch, trumpets,  (423.111)"
"Concheras","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"Conga (Tumbadora) conga","membranophones, drum, percussion, Caribbean (211.221.1)"
"Conga (Tumbadora) quinto","membranophones, drum, percussion, Caribbean (211.221.1)"
"Conga (Tumbadora) requinto","membranophones, drum, percussion, Caribbean (211.221.1)"
"Conga (Tumbadora) ricardo","membranophones, drum, percussion, Caribbean (211.221.1)"
"Conga (Tumbadora) supertumba","membranophones, drum, percussion, Caribbean (211.221.1)"
"Conga (Tumbadora) tumba","membranophones, drum, percussion, Caribbean (211.221.1)"
"Console steel guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Continuum Fingerboard",""
"Contra bass Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Contra-alto clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Contra-alto flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Contrabass clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Contrabass flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Contrabass oboe","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Contrabass sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Contrabass saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Contrabass trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Contrabass tuba","aerophones, trumpet, brass instruments, Germany (423.232)"
"Contrabass ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Contrabass violone","chordophones,  stringed instruments, Spain (321.322-71)"
"Contrabassoon/double bassoon","aerophones, oboe, reed instruments, Western Europe (422.112.2–71)"
"Contraguitar","chordophones,  stringed instruments,  (3)"
"Cor anglais/English horn","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Cornamuse","aerophones, oboe, reed instruments, Europe (422.111.2)"
"Cornet","aerophones, trumpet, brass instruments, France (423.232)"
"Cornett","aerophones, trumpet, natural trumpets, Northern Europe (423.2)"
"Cornu","aerophones, trumpet, brass instruments, Italy (Ancient Rome) (423.121.21)"
"Corrugaphone","aerophones, whip, noise makers,  (411)"
"Countertenor","aerophones, human voice, vocal registers,  (43)"
"Cowbell","idiophones, bell, unpitched percussion, Switzerland (111.242)"
"Croix Sonore",""
"Cromorne","aerophones, oboe
"Crotales","idiophones, cymbal, pitched percussion,  (111.22)"
"Crumhorn","aerophones, oboe, reed instruments, Western Europe (422.111.2)"
"Crwth (Crowd)","chordophones,  stringed instruments, Wales (3)"
"Crystallophone","other drums"
"Cuatro","chordophones,  stringed instruments, Latin America (3)"
"Culoepuya","membranophones, drum, percussion, Venezuela"
"Cuíca","membranophones, friction drum, percussion, Brazil (231.11)"
"Cymbal","idiophones,  unpitched percussion, Romania"
"Cümbüş","chordophones,  stringed instruments, Turkey (3)"
"D clarinet","aerophones, clarinet, reed instruments, Germany (422.2)",
"Dabakan","membranophones, goblet drum, percussion, Philippines (211.261.2)"
"Daf (Dap, Def)","membranophones, frame drum, percussion, Iran (211.311)"
"Damaru","membranophones, drum, percussion, India, Nepal, Tibet (211.3)"
"Danso","aerophones, end-blown flute, woodwinds, Korea (421.111.12)", reed instruments, France  (422.11)"
"Daruan","chordophones,  stringed instruments, China (3)"
"Davul (Dahol, Daul, Daouli, Dhaulli)","membranophones, bass drum, percussion, Turkey (211.212)"
"Dayereh","membranophones, drum, percussion, Azerbaijan, Bulgaria, Iran, Kazakhstan, Kyrgyzstan, North Macedonia, Tajikistan, Turkmenistan, Uzbekistan (211.311)"
"Death growl","aerophones, human voice
"Den-den daiko","membranophones, bell, percussion, Japan (2)"
"Denis d'or",""
"Descant Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Dhak","membranophones,  percussion, Bangladesh, India"
"Dhimay (Dhimaya)","membranophones, drum, percussion, Nepal (211.212)"
"Dhol","membranophones, bass drum, percussion, Asia, India, Pakistan (211.212)"
"Dholak (Dholaki)","membranophones, barrel drum, percussion, Asia, Bangladesh, India, Nepal, Pakistan, Sri Lanka (211.222)"
"Diatonic button accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Diatonic harmonica","aerophones, harmonica, free reed instruments, Germany (412.132)"
"Diddley bow","chordophones,  stringed instruments, US (3)"
"Didgeridoo","aerophones, trumpet, natural trumpets, Australia (423.121.11)", vocal techniques, England  (43 )"
"Dihu","chordophones,  stringed instruments, China (3)"
"Dimdi","membranophones, frame drum, percussion, India (211.311)"
"Diple (or dvojnice)","aerophones, bagpipe, reed instruments, Croatia (422.21/22)"
"Division viol","chordophones,  stringed instruments, Spain (321.322-71)"
"Diyinruan","chordophones,  stringed instruments, China (3)"
"Dizi","aerophones, flute, woodwinds, China (421.121.12)"
"Djembe","membranophones, goblet drum, percussion, West Africa, Burkina Faso, Gambia, Guinea, Guinea-Bissau, Mali, Senegal (211.261.1)"
"Dobro","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Dohol","membranophones, bass drum, percussion, Turkey (211.212)"
"Dollu","membranophones, frame drum, percussion, India (211.222.1)"
"Dombra","chordophones,  stringed instruments, Azerbaijan, Bashkortostan, Kazakhstan, Kyrgyzstan, Russia, Tatarstan, Uzbekistan (321.321)"
"Domra","chordophones,  stringed instruments, Russia (321.321)"
"Doshpuluur","chordophones,  stringed instruments, Tuva (321.322)"
"Dotara","chordophones,  stringed instruments, Bangladesh (321.321-6)"
"Double bass sackbut","aerophones, trombone, brass instruments, France (423.22)"
"Double bass","chordophones,  stringed instruments, Western Europe (321.322-71)"
"Double bell euphonium","aerophones, trumpet, brass instruments, United States of America (423.232)"
"Double contrabass flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Double-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Doulophone/cuprophone","aerophones, trumpet, brass instruments, US (423.121.22)"
"Dreadnought","chordophones,  stringed instruments,  (3)"
"Drum kit","idiophones and membranophones, drum, percussion, North American (1/2)"
"Drum machine",""
"Drum","membranophones,  percussion, "
"Dubreq stylophone",""
"Duduk","aerophones, oboe, reed instruments, Armenia (422.111.2 )"
"Dulcian","aerophones, bassoon, reed instruments, Western Europe (422.112.2)"
"Dulcimer","chordophones,  stringed instruments, England (3)"
"Dulzaina","aerophones, oboe, reed instruments, Spain (422.112.2)"
"Dung-Dkar","aerophones, conch, trumpets, Tibet (423.111)"
"Dunun  (Dundun)","membranophones, drum, percussion, West Africa, Burkina Faso, Ivory Coast, Gambia, Guinea, Mali, Senegal (211.212.1)"
"Dutar","chordophones,  stringed instruments, Azerbaijan, Iran, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan (321.322)"
"Duxianqin","chordophones,  stringed instruments, China (3)"
"Dzhamara","aerophones, end-blown flute, kaval, woodwinds, Greece (421.111.12)"
"EWI",""
"Eigenharp",""
"Eight-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Eight-string guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Eight-string tenor","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Ektara","chordophones,  stringed instruments, India, Pakistan (33-5)"
"Electric cello","chordophones,  stringed instruments,  (3)"
"Electric cymbalum","chordophones,  stringed instruments, Hungary (3)"
"Electric guitar",""
"Electric guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Electric harp","chordophones,  stringed instruments, Worldwide (3)"
"Electric mandolin","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Electric piano","chordophones,  stringed instruments, Italy (3)"
"Electric ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Electric violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Electronic keyboard",""
"Electronic organ",""
"Eleven-string alto guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"English guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"English horn","aerophones, oboe, reed instruments, Western Europe (422.112.-71)"
"Erhu","chordophones,  stringed instruments, China (3)"
"Erxian","chordophones,  stringed instruments, China (3)"
"Esraj","chordophones,
"Euphonium","aerophones, trumpet, brass instruments, Germany (423.232)"
"Extended-range guitars","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"E♭ clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Faglong/Fuglung","chordophones,  stringed instruments, Philippines (3)"
"Falsetto","aerophones, human voice, vocal techniques,  (43)"
"Fegereng","chordophones,  stringed instruments, Philippines (3)"
"Ferrinho","idiophones,  unpitched percussion, Cape Verde"
"Fiddle","chordophones,  stringed instruments, Western Europe (321.322-71)"
"Fife","aerophones, flute, woodwinds, Portugal, Switzerland (421.121.12)"
"Fingerboard synthesizer",""
"Firebird (trumpet)","aerophones, trumpet, slide trumpet, brass instruments, Canada (423.21/22)"
"Fiscorn","aerophones, trumpet
"Five string violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Five-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Five-string double bass","chordophones,  stringed instruments, Western Europe (321.322-71)"
"Five-string tenor","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Five-stringed banjo","chordophones,  stringed instruments, North America (3)"
"Flabiol","aerophones, recorder, fipple flutes, Aragon, Balearic Islands, Spain (421.221.12)"
"Flageolet","aerophones, recorder, fipple flutes, France (421.221.12)", brass instruments , Spain (423.231 )"
"Flamenco guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Flatt trumpet","aerophones, trumpet, slide trumpet, brass instruments, England (423.21/22)"
"Flexatone","idiophones,  pitched percussion,  (112.12)"
"Flugelhorn","aerophones, trumpet, brass instruments, Germany (423.232)"
"Flumpet","aerophones, trumpet, brass instruments, US (423.233)"
"Flute","aerophones, flute, woodwinds, France"
"Flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Flutina","aerophones, accordion, free reed instruments, Europe (412.132)"
"Folgerphone","aerophones, clarinet, reed instruments, United States of America (422.2)"
"Fortepiano","chordophones,  stringed instruments, Italy (3)"
"Four-stringed banjo","chordophones,  stringed instruments, North America (3)"
"Free bass accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"French horn","aerophones, trumpet, brass instruments, Europe (423.232)"
"Fretless guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Fujara","aerophones, recorder, fipple flutes, Slovakia (421.221.12)"
"Fusetar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"G clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Gaida","aerophones, bagpipe, reed instruments, Balkans, Southeast Europe (422)"
"Gaita gastoreña","aerophones,  hornpipe, Andalusia"
"Gandingan","idiophones,  Indonesia"
"Gaohu","chordophones,  stringed instruments, China (3)"
"Gaoyinruan","chordophones,  stringed instruments, China (3)"
"Garklein Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Garmon","aerophones, accordion, free reed instruments, Russia, Tatarstan (412.132)"
"Gayageum","chordophones,  stringed instruments, Korea (3)"
"Gemshorn","aerophones, ocarina, fipple flutes, Germany (421.221.42)"
"Geomungo","chordophones,  stringed instruments, Korea (3)"
"Ghatam","idiophones,  unpitched percussion, China (111.24)"
"Gittern","chordophones,  stringed instruments, Western Europe (3)"
"Glass harmonica","other drums"
"Glasschord","other drums"
"Glockenspiel","idiophones, keyboard, pitched percussion, France/Germany (111.212)"
"Goblet drum","membranophones, drum, percussion, Ancient (211.26)"
"Gong bass drum","membranophones,  percussion, "
"Gong","idiophones,  Brunei, China, Indonesia, Japan, Korea, Malaysia, Myanmar, Tibet"
"Gottuvadhyam","chordophones,  stringed instruments, India (3)", stringed instruments, India (3 )"
"Gralla","aerophones, oboe, shawm,, reed instruments, Spain (422.112)"
"Gran Cassa","membranophones, bass drum, percussion, Italy (211.212 )"
"Great bass Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Great bass violone","chordophones,  stringed instruments, Spain (321.322-71)"
"Guan","aerophones, oboe, reed instruments, China (422.111.2)"
"Guanzi","aerophones, oboe, reed instruments, China (422.111.2)"
"Guitar synthesizer","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guitar zither","chordophones,  stringed instruments, Belarus, Croatia, Czech, Germany, Hungary, Poland, Russia, Slovakia, Slovenia, Switzerland, Ukraine, (314.122)"
"Guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guitarra de golpe","chordophones,  stringed instruments, Mexico (3)"
"Guitarra panzona","chordophones,  stringed instruments, Mexico (3)"
"Guitarra quinta huapanguera","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guitarra séptima","chordophones,  stringed instruments, Mexico (3)"
"Guitarro","chordophones,  stringed instruments, Andalusia, Aragon, Spain (3)"
"Guitarrón (chileno)","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guitarrón (mexicano)","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guitarrón (uruguayo)","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guqin","chordophones,  stringed instruments, China (312.22)"
"Gusli","chordophones,  stringed instruments, Russia (3)"
"Gut-stringed guitars","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Guzheng","chordophones,  stringed instruments, China (3)"
"Güiro","idiophones,  unpitched percussion, Cuba, Panama (112.23)"
"Haegeum","chordophones,  stringed instruments, Korea (3)"
"Haidi","aerophones, oboe, reed instruments, China (422.112.2)"
"Hammered dulcimer","chordophones,  stringed instruments, Austria, England, Germany, Hungary, Poland, Romania, Saudi Arabia, United States (3)"
"Hammond organ",""
"Handpan","idiophones, steelpan, pitched percussion,  (111.24)"
