"gvl_code","name"
"00498","Cornet"
"00502","Broccoli Heat Bunker Records"
"00505","Disques Adès"
"00511","Ostwind-Musik"
"00517","A Level Music"
"00522","Musicaphon"
"00530","Discoton"
"00531","andybeemusic"
"00532","T:Classixx"
"00533","Domo Records"
"00539","Drakkar Records"
"00540","Heinz Records"
"00542","EMI Records, (EMI Gold, Majesty, Total Vegas Recordings, Wishakismo)"
"00544","Club Town"
"00557","Éditions de l' Écritoire"
"00558","Silverbacks Music"
"00562","Bella Musica"
"00567","GoyaLiT"
"00568","Sounding Line Music"
"00572","Marc Aurel Edition"
"00573","Hollywood Records"
"00581","Edition Zeitklang"
"00585","Candid"
"00592","T.T.F. Records"
"00601","NT Records / Limelight"
"00606","Monte Sol Music"
"00609","Le Chant du Monde"
"00611","Blutonium Records"
"00612","Christophorus Records"
"00613","Ideal"
"00614","Discipline Global Mobile, (Panegyric Recordings)"
"00617","Focus Music"
"00619","Enter Music"
"00620","Musaik"
"00622","Monster Beat Records"
"00623","Filmton Soundtracks"
"00624","1 800 Prime CD"
"00625","Hot Score Records"
"00626","Collection du chat botté"
"00627","Guck Records"
"00628","Collection Sidney Bechet"
"00629","Heissluft Productions"
"00630","Doron Music"
"00631","Michelmann Records"
"00633","Cheer Up Music Production"
"00637","Wind-up Records"
"00642","DMG Germany"
"00645","Col Legno Edition"
"00648","Music Shop"
"00651","Various, (Silver)"
"00654","Karamba"
"00656","Soulshine Records"
"00659","Godz Greed Recordings"
"00661","Mexican Railroad Music"
"00663","Loudsprecher"
"00665","Monopol Records"
"00666","Hammerheart America"
"00673","Adlib"
"00687","Yoyo Music"
"00688","Airtrance Records"
"00689","Psallite"
"00693","Whiterock Records"
"00698","Psallite"
"00699","EmArcy Records, No Format !, Universal Music Jazz France"
"00704","Nextfire"
"00705","JTC Music"
"00708","Dance Network, (Hit Music, I Love This Sound, Orange Inn)"
"00710","Endirecto"
"00712","Pintarelly Records"
"00719","New Road Records"
"00720","Fantasy Records"
"00724","Supertone"
"00725","Müller Records"
"00727","Flittchen Records"
"00728","Italic"
"00730","Black Whole Music"
"00731","Oval Office"
"00732","Fourbiddentones, ATO Records"
"00738","Telstar"
"00742","Taso Music Production"
"00744","Phat Boyz Music"
"00747","Poker Flat Recordings, Raw Elements, b-series"
"00754","Musik Art Ingo Schulz"
"00755","Migu Music"
"00761","Deutsche Harmonia Mundi"
"00762","TeddyBär"
"00764","Black Angel Music"
"00765","..."
"00772","Cydonia Music Company"
"00785","Laura Records"
"00792","JoNise Records"
"00793","RDS Music"
"00797","Hope Music"
"00799","Funny Artists"
"00802","Desert Kid Records"
"00805","Five Star Records"
"00815","Waterpipe Records"
"00816","MBM Records"
"00817","Unit Records"
"00818","N-Gage Productions"
"00826","Beyond Music"
"00827","Trauma Records"
"00829","Wildcorner-Records"
"00830","Age One Music"
"00831","Ancient Music Edition"
"00832","Kristall"
"00834","Diadem"
"00835","Hansa, Medox Records, BMG Berlin Musik GmbH"
"00846","Wergo"
"00850","Energized Records"
"00851","Hanstone Records"
"00856","Density, Cutup"
"00858","Next Music Organisation"
"00860","Melodia"
"00861","Emphase Records"
"00863","Supermusic, U.K.E.Records"
"00867","Triebwerk"
"00868","Siegel Music"
"00872","Sunshine, LTM, Station One"
"00873","Quadrophon"
"00875","Simon Records"
"00877","Clubstar, Raisani Records"
"00878","Weltraum"
"00881","Motown"
"00884","Xanadu Musix"
"00887","Lambda Musikproduktion"
"00889","STF Records"
"00890","Stille-Music"
"00893","SABA"
"00894","Pandaimonium Records"
"00901","Serenity Records"
"00902","Xenia Records"
"00906","Sex Sells Phonographics"
"00907","Club Tunes"
"00911","Booya Records"
"00912","multiColor recordings"
"00914","Stax Records"
"00917","Osca"
"00921","Agony Music"
"00922","Edition See-Igel"
"00924","Limb Music"
"00935","Lost Boy Music, (BD Tunes)"
"00936","SLP Music Produktion"
"00944","Fliegenpilz Records"
"00949","Music Guild"
"00950","Buzz-Records, Challenge Records, Supertracks Records"
"00952","BEV Music"
"00959","President"
"00963","CCn'C Records"
"00967","Europa, (Europa Mini)"
"00970","One World"
"00971","Buddah Records"
"00972","Pläne Records, (Funkuchen)"
"00973","United Continental Music"
"00974","Baba Records (Gocinx)"
"00979","MPS"
"00981","MAGIX Entertainment Products GmbH"
"00985","GERI music"
"00990","Capo"
"00992","Preiser Records"
"00994","Chronic Trax / Killer Tracks"
"00996","Accent"
"00998","Chronic Music Interactive"
"00999","Superstar Recordings"
"01000","Vox Coelestis"
"01002","Album Records"
"01003","Impact Records"
"01004","Rhythm Scan"
"01006","Sonic"
"01008","Black and Blue"
"01009","Click Track Records"
"01012","Creative Partner Records"
"01015","Weltmelodie"
"01016","Mountain Spring Music"
"01019","Waveforge"
"01022","Jaboo Records"
"01027","NorthStar Music"
"01030","Center"
"01032","MSP-Music"
"01033","ulfTone Music"
"01037","Audio Rarities"
"01040","Beoton"
"01041","Red Herring"
"01042","Basic Channel"
"01043","Burial Mix"
"01044","Chain Reaction"
"01045","Maurizio"
"01048","Arrest Music"
"01051","East Central One"
"01053","Calyx Records"
"01056","MCA Records"
"01059","LaCosaMia, Seven Days Music"
"01063","Stella Music"
"01066","EarlyBird Records"
"01068","Maple Leaf Records"
"01070","Spiel-Zeug Schallplatten"
"01071","Water Violet Records"
"01074","Apple Records"
"01078","Cotillion"
"01079","Chips Records"
"01083","Schwann Musica Mundi, Koch Schwann"
"01085","Sound of Music Records"
"01086","Grand Casino Records"
"01088","Søk"
"01098","Elf"
"01106","Janitor Records"
"01107","Schwarzrock, ProNoize, Scanner"
"01108","Arizona Records"
"01109","Intercord Record Service, Relativity Records Inc., Mandragora"
"01110","G & A Music"
"01111","TDI Music"
"01113","Palatina Viva"
"01116","Tapalo Music"
"01117","Music Scene"
"01118","Piccobello"
"01119","Stop & Go Records"
"01120","Kilometer 330 Records"
"01127","Bookmark, (InMotion Records)"
"01128","Dustin Music"
"01141","SMT Audio Products"
"01142","Dance Attack Records, DAK"
"01143","Black Series Recordings"
"01144","Blue Horizon"
"01145","Octopus Records"
"01146","ChriS-music"
"01147","Flieger Records"
"01148","V.S.O.P."
"01149","Calig Records"
"01150","Capovalle Records"
"01151","Amaraell Music a.k.a. A Maraell Music and Art Production"
"01152","De Te eM RECORDS"
"01160","Rucilo Records"
"01164","ME-WE Meisterklang"
"01166","Anton Productions"
"01167","Vanguard Classics"
"01168","Superior Records"
"01169","Finlandia Records"
"01170","Expanded Music"
"01171","Golden Sound"
"01172","Klangkörper"
"01174","Guido Negraszus Music"
"01175","Elektrolux, Mikrolux"
"01176","Accent Music"
"01177","Maningo Records & Edition"
"01178","Musikkultur Records"
"01179","Stavenhagen Music"
"01180","Tsunami, (Ceraton Music, Condor)"
"01181","Hungaroton"
"01182","Siam"
"01183","Planet Vision, PV"
"01184","Hey Babe!"
"01185","Three Little Boys Productions"
"01187","Das Lied von der Glocke (Verlagsgruppe Weltbild GmbH)"
"01190","Treibstoff Recordings"
"01191","Pepe Music"
"01191","Pepe Music"
"01194","Mister B Records"
"01196","Herby's Music"
"01197","Rikton"
"01198","Thrashback Records"
"01200","Recreation Recordings, Sonar Kollektiv"
"01201","Easyplay Records"
"01202","O.R.P. Music"
"01203","Sansan Music"
"01204","Kamalesh Productions"
"01205","Royal Colour Music"
"01206","Dark Reign"
"01208","King Edward Records"
"01209","Red Bullet"
"01210","Hardleaders"
"01211","Slip 'n' Slide"
"01212","Fragmented Records"
"01213","Kickin Records"
"01214","Viva"
"01215","Idiot Records"
"01216","Monaco Records"
"01219","Make Up"
"01220","Studio Walldorf Records"
"01221","Double Moon Records, (Challenge Records)"
"01223","Dancefloor"
"01224","TONF Records"
"01226","Poets Club Records"
"01228","Blue Thumb Records"
"01229","BR Music"
"01231","Mr. G"
"01234","MHR (Weltmelodie)"
"01243","Sun Only Music"
"01250","Chance Music"
"01256","Home Records"
"01262","Eleganz Records"
"01263","ESC Records"
"01268","Clubkraft Records"
"01271","Rabazco"
"01274","Lab Records"
"01275","Frisbee Tracks"
"01276","Calypso"
"01277","Grind Syndicate Media"
"01278","DJM"
"01279","Top Five"
"01281","SunGate Music"
"01285","Edition Apoll"
"01291","Auf Abwegen"
"01292","Quamby Hill"
"01293","raster-noton, (Rastermusic)"
"01297","Junkie Vinyl"
"01301","Voodoomania Art & Sound"
"01305","Harvest"
"01309","Novas Music"
"01311","Leaf Music"
"01314","Dream Circle Records"
"01316","GK Music"
"01317","Magic Minds Records"
"01320","Carpe Diem"
"01329","Karl-Heinz Musik"
"01331","Emidisc"
"01336","Free Form Records [1998-2002], 7Hz Recordings [2006-present], (Abstrait Music)"
"01340","Kartini"
"01341","Escape Records"
"01347","F Communications, F... U! FCOM"
"01348","Bonanza"
"01350","DJs Present, (PIAS Germany)"
"01351","Suspect Records, CCP Records"
"01361","Candide"
"01365","Barnaby Records"
"01368","Guma Music"
"01371","Yellowjacket Music"
"01373","Deja Music"
"01374","Marcophon"
"01378","Grönland Records"
"01380","Superfly Records"
"01385","BBC"
"01398","JHM Records"
"01401","Double T Music"
"01406","Skint"
"01409","The Famous Charisma Label"
"01414","InsideOut Music"
"01415","WAM"
"01421","Bellaphon Records"
"01422","Almo Music Corporation"
"01425","Shoebox Records"
"01430","Panton, Bengal Records"
"01436","ISS Records"
"01441","Dynamo Music"
"01442","NeutonMusic, ..., Tritone"
"01444","Megatrax (Marquee Music, The Scene)"
"01448","Blickpunkt Pop"
"01449","Up to Date Records"
"01450","Fuel Records, F+Plus"
"01454","Quoi de neuf docteur"
"01459","Coil Records"
"01467","MegaCycle Records"
"01468","Organic Music"
"01472","Lagerhaus Music"
"01475","X-cell Records"
"01476","What's Up ?!"
"01477","Crystal"
"01485","Maverick"
"01492","Together Music"
"01493","Financial Disaster Records"
"01495","Think Progressive"
"01496","Radiant Future"
"01503","Point/ Black Arrow / TTS-Media Music"
"01504","Chrass Records"
"01505","Free Lance"
"01507","Mondo Musica"
"01513","In Joy Music"
"01515","Hot Action Records"
"01516","Trigger Records"
"01518","Stereophonic"
"01521","Raymer Sound"
"01528","Ana Records"
"01533","Velvet Vibe Rec."
"01537","MGB Records"
"01542","One World Music"
"01543","Pewi Records"
"01546","Hella Music"
"01549","2R - Records"
"01550","Power Jam Records"
"01551","Zeitbombe"
"01554","SAS, (Pan Classics)"
"01557","EastWest Records (Anxious Records, Nostrum Music, Warner Music)"
"01562","MarcMusic Germany"
"01566","Encore Merci Éditions"
"01573","SEM Records"
"01579","Projektion J Music House"
"01582","Prime Entertainment"
"01585","Sacred!"
"01587","Trend Records"
"01592","AWP Records"
"01597","Garden of Delights"
"01602","Matica Music"
"01604","GID Music"
"01607","Southevent"
"01608","Animate Style"
"01609","Solitaire Records"
"01610","Versailles"
"01613","Monja Records"
"01616","Breakdown"
"01617","Whippet Records"
"01622","Ganser & Hanke"
"01626","Chrysalis, Animal Records, Ensign"
"01628","Danza y Movimiento"
"01629","Isarton"
"01633","Vertigo"
"01639","synSONIQ Records, (Ming Dynasty)"
"01641","Dizim Records"
"01644","School Records"
"01646","Slotmachine"
"01647","Advance Music"
"01648","B.Mind Records"
"01653","Dwarslöper Musikproduktion"
"01654","Kirshner"
"01656","Edition GL"
"01657","Strike"
"01660","ELK Music"
"01662","Mona Music"
"01666","Edel Records, (Ear Music)"
"01672","Hopi Mesa"
"01673","Pop Up! Records"
"01674","Mr. D. Music"
"01675","Pop Music"
"01681","Fork Records"
"01682","FASS"
"01690","Energizer, (Tom Records)"
"01703","Harp"
"01705","Edition Musikat"
"01706","Flori Music"
"01707","Genuit Musik (Musik und Tanz)"
"01708","Hometown Music"
"01711","Plattenmeister"
"01714","Raw Elements"
"01716","CIMP Records"
"01721","Planet World Music"
"01728","Shock"
"01729","Poison Recordings, Beats and Friends"
"01730","Blank Your Mind"
"01732","Extreme Music"
"01736","Bumbum Music"
"01738","Academy"
"01739","Horst Krüger Music"
"01744","Etage Music"
"01751","La Mancha Music"
"01752","I Hate Music"
"01753","Miller Music"
"01757","Apocalypse, MadFish"
"01760","Barbo"
"01762","Sunshine Music"
"01763","Calyx Records"
"01764","MH Music Productions"
"01766","Shelter Records"
"01770","Blue Flower Records, (Snapper)"
"01773","Janus Records"
"01781","7 Bridges Recordings"
"01783","Invictus"
"01784","Sonic Boom Records"
"01794","CRC"
"01795","Castigo"
"01798","Diki Records"
"01801","V2"
"01802","Tonika Recordings"
"01804","Reef Recordings"
"01805","Fine Audio Recordings"
"01806","Monika Enterprise"
"01807","Madam Records"
"01812","Nightown Records"
"01817","Milk & Sugar Recordings"
"01821","Janine Records, (Marvin Musik)"
"01822","Toxic Records"
"01823","EWS-Klassik"
"01827","West 2"
"01828","Barracuda, (Satori)"
"01829","Clublink"
"01836","Pearl, (Opal)"
"01839","Xtravaganza Recordings"
"01846","Universal Music, Universal Records/UMG Soundtracks, Brushfire Records / Serious Records"
"01848","Arendo"
"01849","Dolphin Records"
"01850","Stormy Monday Records"
"01852","Earforce, Headstrong Records"
"01855","Terra Zone / Golden Core"
"01856","Velvel"
"01857","Razor & Tie"
"01866","Disques Carrère"
"01869","Kick Records"
"01871","Helvetia"
"01872","Phonag Records"
"01873","Phonacord"
"01874","Quantaphon"
"01876","Xopf Records"
"01878","Panther Records"
"01879","Volksmusik"
"01884","Daddy Kate"
"01886","Firestone Music"
"01892","Supersonic Records"
"01894","Art of Living"
"01896","China Records"
"01897","Vanity"
"01902","Inside Outside Music"
"01915","Nasty Vinyl Records"
"01919","Mark Pwllheli Music"
"01927","Mondiophone, (Crea Sound Ltd.)"
"01929","Acron Music"
"01930","Flat Earth Music"
"01931","Contraption Records"
"01932","Frequenz"
"01933","Diraton"
"01935","Letter Box Music"
"01941","Hall of Sermon"
"01943","Blue Martin Records"
"01945","Strom"
"01946","Unity Production Music Library"
"01948","Tank Records"
"01951","Ninetysix Sounds"
"01952","Mania Music"
"01954","Southland Records"
"01958","Thorofon"
"01961","Spice Records"
"01962","Lion Records"
"01970","High Head Records"
"01974","Kamikaze Records"
"01977","Euphonic"
"01978","Musikproduktion Detlef Diederichsen"
"01982","Adrenalin"
"01983","Scene Records"
"01984","Torner Records"
"01985","Kickback"
"01986","Salto Records International"
"01989","Twentyseconds Music Productions"
"01990","Music X"
"01994","Löwenton Schallplatten"
"01995","Me & My Blues Records, (Me & My Americana Records)"
"01998","L+R Records"
"03002","PPM Classic"
"03003","Face Down"
"03004","Bud Music"
"03005","Spin Records"
"03007","G.I.B."
"03023","AGPL"
"03025","Enchanté Recordings, S.m.a.l.l."
"03026","JAPO Records"
"03029","Ton 4 Records"
"03033","Eiermann Records"
"03042","Manticore"
"03047","Allstyle Records, (Joan Music, Toptainment Music)"
"03053","The Rocket Record Company"
"03055","JKP"
"03059","Grover Records, Grover Supreme, Elmo Records, Vinyl Only Records"
"03061","JAM Tonic Records"
"03062","Cameo"
"03071","Modern Tune Music Records"
"03073","Manic Music"
"03075","Armida"
"03083","Polymusica"
"03088","Formaldehyd Records"
"03090","Mascot Records, (Cool Green Recordings, Cymbeline Records, Provogue Records)"
"03091","II Moons"
"03092","Good Vibration"
"03098","Virgin Records, (Crank Records, Grand Recordings, Quigley Records, Offside Records, Ten Records, Totenkopf, Venture Records, Rhyme $yndicate Records)"
"03099","Rosehill Music"
"03100","High Gain Records"
"03101","Cockroach Records"
"03109","PSM Records"
"03113","Swinging Banana Records"
"03116","Pulp"
"03118","Bernd Gast Music"
"03121","Kik Music & Design GmbH"
"03124","Blues Beacon Records"
"03126","Enja Records, Enja Nova"
"03134","Be Be's Records, (Juke Joint Records)"
"03136","MAC Music"
"03145","Inside Cosmos"
"03147","Haberg Music"
"03149","Swanlake Records"
"03150","Al Gee Music"
"03155","N 678 ALL"
"03157","Musik der Ostkirchen"
"03160","Mfs Music For Sport"
"03168","Kelele Records"
"03170","Radio X"
"03181","Earth Music Records"
"03182","Einstein Music"
"03187","PSST-Music"
"03191","Unison"
"03193","Orbit Records, Bow Records"
"03195","Jazz Masters"
"03196","Carlton Records"
"03198","Green Tree Records"
"03199","FSM, (Edition Brockhoff)"
"03200","Blurr Records"
"03205","H2 Records"
"03211","Wahn Witz Records"
"03212","Kerston Records"
"03214","Absorbing Recordings"
"03222","Plastic Loop Recordings"
"03224","Drag & Drop Industrial, Drag & Drop Ritual"
"03228","Sire Records"
"03230","Brain"
"03232","Lala Records"
"03235","Hypnobeat"
"03236","Ancient Vomit Records"
"03237","Coloured Rain Records"
"03238","Globe, One Way Records"
"03239","Raffmond"
"03249","JERO Records"
"03252","Kosmo Records, (Afro Jam)"
"03254","Pablo Records"
"03257","Eye of the Storm"
"03259","Marky Music"
"03261","Caroline Records, (Sublabel: Scamp)"
"03262","Confused Recordings, (Spezial Music)"
"03263","Alister Records"
"03266","Audiolith Records"
"03267","Pipmatz"
"03270","Antica Classica, (JazzWindow)"
"03271","Lagoona Records"
"03272","Casablanca Records"
"03274","Free Culture Music"
"03275","One Little Indian Records"
"03281","Red Green Music"
"03282","Voodoo Garden"
"03289","Gull"
"03292","Shah-Records, (Magic Island Records, Tsushima UK)"
"03295","Bos Records"
"03296","Time Out Music"
"03298","Troubadour Records"
"03300","Sema Music"
"03304","Chiemsee World Music"
"03305","Golden Gramophone"
"03307","Illustrious"
"03308","Intergroove (im Vertrieb: Cocoon)"
"03310","Nullviernull Tonproduktion"
"03311","NOVA"
"03312","Perleberg Music International"
"03314","Southwest Music"
"03316","Spirit Production"
"03318","Nois-o-lution"
"03319","Deep Distraxion, West 2"
"03230","Brain"
"03322","Lala Records"
"03323","Nightingale Classics"
"03324","H&G Records"
"03325","Love & Life Sound"
"03326","Bigpop"
"03328","Megaphon Records"
"03330","Hit Express"
"03331","Rydeen"
"03332","MeDizzy Records"
"03333","Third"
"03334","Christian Feldgen Music"
"03335","Coex! Music"
"03339","Funktion Music"
"03353","Keltia Musique"
"03358","USG Records"
"03361","Rockparade Records"
"03364","ARG Records"
"03367","Markant Music"
"03368","B.T.Music"
"03372","Dolce Vita"
"03373","ArtVoice"
"03375","Dark Horse Records"
"03378","Kimono"
"03379","Jupiter Records"
"03380","Pure Gravitation Records"
"03381","Fire-Hand Records"
"03387","Colosseum Records, Celine Records"
"03388","Plink Plonk"
"03389","Magnet Records"
"03390","Lo Voltage"
"03391","Electro Audio Response"
"03396","Continental Song City"
"03414","Klangstudio C"
"03417","Sensoria"
"03423","Disques Motors"
"03424","Angular Records"
"03426","Scout Releases"
"03427","Araucaria Music, (Araucaria Projects)"
"03428","Freibank"
"03431","Bruno Records"
"03432","Marcato"
"03437","Nephilim Records"
"03441","Jazz Colours"
"03445","Swan Song"
"03447","9pm Records"
"03450","Nocturne Records"
"03451","Cliff Music Pro."
"03454","Aneri Music"
"03455","Jet Records"
"03460","Alpaca Park"
"03466","Hitbrick"
"03469","Blue Marlin Records"
"03470","360° Records"
"03471","Peek-A-Boo Records"
"03472","Virtual Jazz Records"
"03473","Power Exchange Records"
"03475","Private Stock Records"
"03476","Aulos"
"03477","Prom"
"03479","Micro Music"
"03480","Arte Nova Classics"
"03482","Labor"
"03483","Braintist"
"03484","Arista Records, (Go Feet Records, LaFace Records, Rockin' Horse Records)"
"03492","Produttori Associati"
"03496","State Records"
"03497","Manoa Records"
"03499","L.M.E. Records"
"03501","Made in Frankfurt"
"03503","Atom"
"03504","Rave Music"
"03506","Music In Time"
"03514","Lawine"
"03515","Ladomat 2000"
"03516","Costabiei Music Productions"
"03519","Ogun Records"
"03523","Polly Records"
"03529","Crisma Records"
"03530","Opus"
"03531","X-Art, (Wash)"
"03534","RCM Music"
"03537","Replicator"
"03540","Rude Boy Records"
"03542","Kristallzauber"
"03543","Gäumoggel Records, (Tempus Fugit)"
"03548","New Lifeshark Records"
"03549","Twah!, Viking Wreckchords"
"03554","HiQ"
"03561","Cybertech"
"03564","emc"
"03567","Peregrina Music"
"03568","WTV Records"
"03572","Ondine"
"03576","PlancTon Records"
"03578","504 Records"
"03579","Club Zone"
"03581","3 Lanka (Space Traxx)"
"03583","Janz Team Music"
"03584","Wolke 7"
"03588","New Classic Colours"
"03589","Eddi Zauberfinger Music"
"03592","Oriente Musik"
"03593","Villanova Recordings"
"03594","Pa'ti Pa'mi"
"03599","Herrmann-Music"
